Name,Symbol,Price (USD),24h Change (%),7d Change (%),Market Cap,24h Volume,Timestamp
Tether,USDT,1.0,0.01324,-0.005864775247198,158708567261,67180242218,2025-07-10 02:03:10
XRP,XRP,2.42,4.79027,7.1752704475793845,142681952797,4388874856,2025-07-10 02:03:10
BNB,BNB,670.4,1.56979,1.2104778420085929,97799139022,846438533,2025-07-10 02:03:10
Solana,SOL,157.67,4.06388,2.507618958522597,84453505026,4307144067,2025-07-10 02:03:10
USDC,USDC,0.99999,0.00884,0.0115103483627628,61897176516,10034947320,2025-07-10 02:03:10
TRON,TRX,0.289955,0.9193,2.0916667895116694,27476095765,454912413,2025-07-10 02:03:10
Dogecoin,DOGE,0.182147,6.46904,6.117700309523002,27290564071,1804134875,2025-07-10 02:03:10
Lido Staked Ether,STETH,2777.14,6.40132,6.905633161392412,25260751537,38780748,2025-07-10 02:03:10
Bitcoin,BTC,111396.0,2.23665,2.036571179924658,2215179577223,33849498917,2025-07-10 02:12:42
Ethereum,ETH,2777.29,6.24338,6.970587428818631,335325045999,23355065685,2025-07-10 02:12:42
Tether,USDT,1.0,0.00971,-0.0110514827368831,158709941618,67363214789,2025-07-10 02:12:42
XRP,XRP,2.41,4.55864,7.353023696485293,142666331528,4161564980,2025-07-10 02:12:42
BNB,BNB,670.01,1.47454,1.1677954705346572,97802986067,852317507,2025-07-10 02:12:42
Solana,SOL,157.75,4.01679,2.676773992499623,84594729651,4320360651,2025-07-10 02:12:42
USDC,USDC,0.999903,-0.00019,0.0052994543284405,61896666624,4504263559,2025-07-10 02:12:42
TRON,TRX,0.289836,0.86246,1.9696776006807712,27468862276,457680580,2025-07-10 02:12:42
Dogecoin,DOGE,0.181921,6.2633,6.445595009378377,27270916947,1808023128,2025-07-10 02:12:42
Lido Staked Ether,STETH,2774.45,6.18292,6.913891553925969,25329575167,40634648,2025-07-10 02:12:42
Bitcoin,BTC,111397.0,2.23753,2.03744956373282,2215179577223,33820050000,2025-07-10 02:13:42
Ethereum,ETH,2776.96,6.23099,6.958116392470439,335325045999,23633395669,2025-07-10 02:13:42
Tether,USDT,1.0,0.00919,-0.0115735471199588,158709941618,67368625043,2025-07-10 02:13:42
XRP,XRP,2.41,4.56089,7.355333835835184,142666331528,4163655742,2025-07-10 02:13:42
BNB,BNB,669.99,1.47153,1.164791553689422,97802986067,852326469,2025-07-10 02:13:42
Solana,SOL,157.89,4.10947,2.768258400272048,84504132651,5328903692,2025-07-10 02:13:42
USDC,USDC,0.999903,-0.00019,0.0052925467524595,61891777140,4649069718,2025-07-10 02:13:42
TRON,TRX,0.289834,0.86148,1.9686851083428456,27468862276,457795806,2025-07-10 02:13:42
Dogecoin,DOGE,0.181939,6.2739,6.456210655969893,27270916947,1807461148,2025-07-10 02:13:42
Lido Staked Ether,STETH,2773.8,6.15795,6.888752902311135,25329575167,40640529,2025-07-10 02:13:42
Bitcoin,BTC,111397.0,2.23753,2.03744956373282,2215179577223,33820050000,2025-07-10 02:14:33
Ethereum,ETH,2776.96,6.23099,6.958116392470439,335325045999,23633395669,2025-07-10 02:14:33
Tether,USDT,1.0,0.00919,-0.0115735471199588,158709941618,67368625043,2025-07-10 02:14:33
XRP,XRP,2.41,4.56089,7.355333835835184,142666331528,4163655742,2025-07-10 02:14:33
BNB,BNB,669.99,1.47153,1.164791553689422,97802986067,852326469,2025-07-10 02:14:33
Solana,SOL,157.89,4.10947,2.768258400272048,84504132651,5328903692,2025-07-10 02:14:33
USDC,USDC,0.999903,-0.00019,0.0052925467524595,61891777140,4649069718,2025-07-10 02:14:33
